comments,model_name,identifier,parent_model_name,parent_link_type,attribute_name,new_attribute_name,attribute_type,link_model_name,description,display_name,format_hint,restricted,read_only,options,match,attribute_group,hidden,unique,matrix_constant
"","","","","","","","","","","","","","","","","","","",""
"",biospecimen,"","","","","","","","","","","","","","","","","",""
"","",name,timepoint,collection,"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"",timepoint,"","","","","","","","","","","","","","","","","",""
"","",name,subject,collection,"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"",cytof,"","","","","","","","","","","","","","","","","",""
"","",tube_name,biospecimen,collection,"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"",rna_seq,"","","","","","","","","","","","","","","","","",""
"","",tube_name,biospecimen,collection,"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"",sc_seq,"","","","","","","","","","","","","","","","","",""
"","",tube_name,biospecimen,collection,"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"",subject,"","","","","","","","","","","","","","","","","",""
"","",name,project,collection,"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"",cytof_pool,"","","","","","","","","","","","","","","","","",""
"","",pool_name,project,collection,"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"",rna_seq_plate,"","","","","","","","","","","","","","","","","",""
"","",plate_name,project,collection,"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"",sc_seq_pool,"","","","","","","","","","","","","","","","","",""
"","",tube_name,project,collection,"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"",project,"","","","","","","","","","","","","","","","","",""
"","",name,"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"",demographic,"","","","","","","","","","","","","","","","","",""
"","",name,subject,table,"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"",document,"","","","","","","","","","","","","","","","","",""
"","",name,project,collection,"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"",dna_seq,"","","","","","","","","","","","","","","","","",""
"","",tube_name,biospecimen,collection,"","","","","","","","","","","","","","",""
"","","","","",created_at,"",date_time,"","",Created At,"","","","","","",true,"",""
"","","","","",updated_at,"",date_time,"","",Updated At,"","","","","","",true,"",""
"","","","","",tube_name,"",identifier,"","",Tube Name,"","","","","","","","",""
"","","","","",raw_fastq_files,"",file_collection,"",Raw Fastq files,Raw Fastq Files,"","","","","","","","",""
"","","","","",capture_type,"",string,"","Whole genome, exome, targeted panel",Capture Type,"","","","","","","","",""
"","","","","",capture_kit,"",string,"","Company name, kit name, version number",Capture Type Kit,"","","","","","","","",""
"","","","","",alignment_cram,"",file,"",Alignment cram file,Alignment Cram,"","","","","","","","",""
"","","","","",target_bed_file,"",file,"",Target bed file,target_bed_file,"","","","","","","","",""
"","","","","",genome,"",string,"",Genome/reference used for alignment of reads,Genome,"","","","","","","","",""
"","","","","",sequencer,"",string,"",Next-generation sequencing platform,Sequencer,"","","","","","","","",""
