comments,model_name,identifier,parent_model_name,parent_link_type,attribute_name,new_attribute_name,attribute_type,link_model_name,description,display_name,format_hint,restricted,read_only,options,match,attribute_group,hidden,unique,matrix_constant
,,,,,,,,,,,,,,,,,,,
,project,,,,,,,,,,,,,,,,,,
,,name,,,,,,,,,,,,,,,,,
,,,,,cytof_pool,,collection,cytof_pool,,Cytof Pool,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,sample,,,,,,,,,,,,,,,,,,
,,sample_name,patient,collection,,,,,,,,,,,,,,,
,,,,,cytof,,collection,cytof,,Cytof,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,cytof,,,,,,,,,,,,,,,,,,
,,tube_name,sample,collection,,,,,,,,,,,,,,,
,,,,,created_at,,date_time,,,Created At,,,,,,,TRUE,,
,,,,,updated_at,,date_time,,,Updated At,,,,,,,TRUE,,
,,,,,tube_name,,identifier,,,Tube Name,,,,,^IPI[A-Z]+[0-9]+.[TNRMLB][1-9][0-9]*.cytof.[A-Za-z0-9]*$,,,,
,,,,,cytof_pool,,link,cytof_pool,,Cytof Pool,,,,,,,,,
,,,,,normalized_fcs,,file,,Normalized FCS file (normalized and debarcoded),Normalized FCS file,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,cytof_pool,,,,,,,,,,,,,,,,,,
,,pool_name,project,collection,,,,,,,,,,,,,,,
,,,,,created_at,,date_time,,,Created At,,,,,,,TRUE,,
,,,,,updated_at,,date_time,,,Updated At,,,,,,,TRUE,,
,,,,,raw_fcs_pool,,file,,The raw FCS file (before processing),Raw FCS file,,,,,,,,,
,,,,,barcode_key,,file,,Barcode assignments,Barcode key,,,,,,,,,
,,,,,cytof,,collection,cytof,,Cytof,,,,,,,,,
,,,,,beads_image,,image,,Image of beads,Normalization bead image,,,,,,,,,
,,,,,panel,,string,,Staining panel used,Antibody panel,,,,,,,,,
,,,,,control_fcs,,file,,Control sample,Control FCS file,,,,,,,,,
,,,,,barcode_params,,file,,Debarcoding parameters,Debarcode log,,,,,,,,,
,,,,,pool_name,,identifier,,,Pool Name,,,,,^IPIPOOL[0-9]*.[TNRMLB][1-9][0-9]*.cytof.[A-Za-z0-9]*$,,,,
,,,,,normalized_fcs_pool,,file,,Normalized FCS pool file (premessa),Normalized FCS file,,,,,,,,,
,,,,,beads_fcs,,file,,FCS file containing normalization beads,Beads FCS file,,,,,,,,,
,,,,,normalizer_log,,file,,Normalization parameters,Normalization log,,,,,,,,,
,,,,,unassigned_fcs,,file,,FCS file of events not assigned to a barcode channel,Unassigned FCS file,,,,,,,,,
